Category,Message
ham,Final project presentation is tomorrow
spam,Win a FREE prize now!
spam,"Limited offer just for you, claim now!"
spam,You have been selected for a cash reward
spam,Win a FREE prize now!
ham,Bring your notes for the tutorial
ham,Don't forget the meeting at 2
ham,Are you coming to the event tomorrow?
ham,Bring your notes for the tutorial
spam,Congratulations! You have won a lottery!
ham,The assignment is due by midnight
ham,Can we reschedule our discussion?
ham,Don't forget the meeting at 2
spam,Congratulations! You have won a lottery!
spam,"Exclusive deal, click the link now!"
ham,The assignment is due by midnight
spam,"Exclusive deal, click the link now!"
spam,Congratulations! You have won a lottery!
spam,"Exclusive deal, click the link now!"
spam,"Limited offer just for you, claim now!"
spam,You have been selected for a cash reward
ham,Bring your notes for the tutorial
spam,Get your FREE trial today
spam,Get your FREE trial today
spam,"Limited offer just for you, claim now!"
spam,Buy 1 get 1 FREE! Hurry up!
spam,Free entry in a lucky draw!
spam,Free entry in a lucky draw!
spam,"Limited offer just for you, claim now!"
spam,"Exclusive deal, click the link now!"
spam,Win a FREE prize now!
ham,Let's catch up over lunch
spam,Free entry in a lucky draw!
spam,"Exclusive deal, click the link now!"
ham,See you in class at 10
spam,"Exclusive deal, click the link now!"
ham,Final project presentation is tomorrow
ham,Bring your notes for the tutorial
spam,"Limited offer just for you, claim now!"
ham,Are you coming to the event tomorrow?
ham,Final project presentation is tomorrow
ham,The assignment is due by midnight
ham,The assignment is due by midnight
spam,Get your FREE trial today
spam,Free entry in a lucky draw!
ham,Can we reschedule our discussion?
spam,Congratulations! You have won a lottery!
spam,Win a FREE prize now!
ham,Bring your notes for the tutorial
ham,Can we reschedule our discussion?
spam,"Limited offer just for you, claim now!"
spam,You have been selected for a cash reward
spam,Buy 1 get 1 FREE! Hurry up!
ham,Meeting at 3pm today in room 204
ham,Are you coming to the event tomorrow?
spam,Congratulations! You have won a lottery!
ham,The assignment is due by midnight
ham,The assignment is due by midnight
ham,The assignment is due by midnight
ham,Don't forget the meeting at 2
ham,Let's catch up over lunch
ham,Bring your notes for the tutorial
ham,Let's catch up over lunch
spam,"Exclusive deal, click the link now!"
ham,Can we reschedule our discussion?
ham,See you in class at 10
spam,Claim your voucher now before it expires
spam,"Limited offer just for you, claim now!"
ham,Let's catch up over lunch
ham,Let's catch up over lunch
ham,The assignment is due by midnight
ham,Let's catch up over lunch
spam,"Exclusive deal, click the link now!"
spam,Buy 1 get 1 FREE! Hurry up!
spam,Buy 1 get 1 FREE! Hurry up!
spam,Get your FREE trial today
ham,Let's catch up over lunch
spam,Claim your voucher now before it expires
spam,Claim your voucher now before it expires
ham,The assignment is due by midnight
ham,Can we reschedule our discussion?
ham,Are you coming to the event tomorrow?
ham,The assignment is due by midnight
ham,The assignment is due by midnight
spam,"Limited offer just for you, claim now!"
spam,Claim your voucher now before it expires
ham,Let's catch up over lunch
ham,The assignment is due by midnight
ham,Can we reschedule our discussion?
ham,Let's catch up over lunch
ham,Don't forget the meeting at 2
spam,Claim your voucher now before it expires
ham,Let's catch up over lunch
spam,"Limited offer just for you, claim now!"
ham,Let's catch up over lunch
ham,Final project presentation is tomorrow
ham,Can we reschedule our discussion?
ham,See you in class at 10
ham,Can we reschedule our discussion?
ham,Are you coming to the event tomorrow?
